3001,"A Tale of Two Cities","Charles Dickens","Set in the time of the French Revolution, this novel tells the story of two men - Charles Darnay, a French aristocrat, and Sydney Carton, a drunken lawyer - who fall in love with the same woman amid the chaos of the revolution.","Historical Fiction",30
3002,"Harry Potter and the Philosopher's Stone","J.K. Rowling","The first book in the Harry Potter series, it follows the story of a young orphan boy named Harry Potter who learns on his eleventh birthday that he is a wizard and embarks on an adventure to attend Hogwarts School of Witchcraft and Wizardry.","Fantasy",40
3003,"The Lion, the Witch and the Wardrobe","C.S. Lewis","The first book in The Chronicles of Narnia series, it tells the story of four siblings who enter the magical world of Narnia through a wardrobe and help the lion Aslan in his battle against the evil White Witch.","Fantasy",35
3004,"The Lord of the Rings","J.R.R. Tolkien","A trilogy that follows the quest of hobbit Frodo Baggins and his companions to destroy the One Ring, which holds the power to enslave the inhabitants of Middle-earth.","Fantasy",37
3005,"Alice in Wonderland","Lewis Caroll","A novel that follows the adventures of a young girl named Alice who falls down a rabbit hole and enters a whimsical world populated by peculiar creatures.","Fantasy",12
3006,"Dune","Frank Herbert","Set in the distant future, this novel tells the story of Paul Atreides, a young nobleman who leads a rebellion against the emperor of the universe and seeks to control the planet Arrakis, the only known source of the spice melange, which gives humans the ability to fold space.","Science Fiction",42
3007,"Pride and Prejudice","Jane Austen","A novel that follows the story of Elizabeth Bennet, the second eldest of five daughters of a country gentleman, as she navigates the complexities of love, social class, and family in Regency England.","Romance",29
3008,"The Great Gatsby","F. Scott Fitzgerald","Set in the Roaring Twenties, this novel tells the story of the mysterious millionaire Jay Gatsby and his obsession with the beautiful Daisy Buchanan, as seen through the eyes of the narrator, Nick Carraway.","Tragedy",30
3009,"To Kill a Mockingbird","Harper Lee","A novel set in the Deep South during the 1930s, it follows the story of a young girl named Scout Finch as she learns about racial injustice and the importance of empathy and understanding.","Bildungsroman",17
3010,"The Catcher in the Rye","J.D. Salinger","A novel that follows the story of Holden Caulfield, a teenage boy who has been expelled from his prep school and embarks on a journey of self-discovery in New York City.","Realistic",24
3011,"War and Peace","Leo Tolstoy","Set during the Napleonic invasion in early 19th century Russia, the novel explores themes of war, love, family, and the struggle to find meaning in life.","Historical",53
3012,"Jane Eyre","Charlotte Bronte","A young governess falls in love with her employer, but discovers dark secrets about his past.","Gothic",42
3013,"Wuthering Heights","Emily Bronte","A passionate love story between two childhood friends, Heathcliff and Catherine, whose obsessive love drives them apart.","Gothic",57
3014,"The Adventures of Huckleberry Finn","Mark Twain","A young boy and a runaway slave travel down the Mississippi River, encountering various adventures and learning about racism and slavery.","Adventure",19
3015,"Great Expectations","Charles Dickens","A poor boy named Pip is suddenly given a chance to become a gentleman, but learns that wealth and status don't always bring happiness.","Bildungsroman",51
3016,"The Picture of Dorian Gray","Oscar Wilde","A young man stays young and handsome while a portrait of him ages and reveals the ugliness of his soul.","Gothic",10
3017,"Frankenstein","Mary Shelley","A scientist creates a monster from body parts, but soon realizes the monster is out of his control and wreaking havoc on his life.","Gothic",38
3018,"1984","George Orwell","A man rebels against a totalitarian regime that controls every aspect of citizens' lives, including their thoughts and emotions.","Dystopian",45
3019,"Brave New World","Aldous Huxley","A future society is divided into castes and controlled by drugs and technology, but a few rebels refuse to conform.","Dystopian",27
3020,"The Grapes of Wrath","John Steinbeck","A family of farmers from Oklahoma is forced to move to California during the Great Depression and face poverty, discrimination, and injustice.","Realistic",56
3021,"The Scarlet Letter","Nathaniel Hawthorne","A story set in 17th-century Puritan New England, about a woman named Hester Prynne who is publicly shamed and punished for committing adultery and has to wear a scarlet letter 'A' on her clothing as a reminder of her sin.","Romantic",32
3022,"Animal Farm","George Orwell","A political fable that uses farm animals to portray the events leading up to the Russian Revolution of 1917 and the early years of the Soviet Union.","Satire",47
3023,"The Brothers Karamazov","Fyodor Dostoevsky","A complex novel that explores the themes of faith, doubt, reason, free will, and morality through the story of the Karamazov family, which includes a murder mystery and a paternity dispute.","Philosophical",23
3024,"Heart of Darkness","Joseph Conrad","A novella that follows the journey of a man named Marlow up the Congo River to meet a notorious ivory trader named Kurtz, and explores themes of imperialism, racism, and the human psyche.","Modernist",11
3025,"Moby-Dick","Herman Melville","A novel about a man named Ishmael who joins the crew of a whaling ship called the Pequod, commanded by the obsessive Captain Ahab, in search of the white whale Moby-Dick.","Adventure",30
3026,"The Canterbury Tales","Geoffrey Chaucer","A collection of stories told by a group of pilgrims travelling to the shrine of Saint Thomas Becket in Canterbury, England, in the 14th century, which provides a vivid picture of medieval life.","Medieval",40
3027,"The Sun Also Rises","Ernest Hemingway","A novel that portrays the lives of a group of disillusioned expatriates living in Paris and traveling to Pamplona, Spain, to watch the running of the bulls, and explores themes of love, masculinity, and the 'Lost Generation.'","Realistic",26
3028,"Don Quixote","Miguel de Cervantes","A novel about a middle-aged gentleman named Alonso Quixano who, after reading too many books about chivalry, sets out to revive the age of knighthood and chivalry, and becomes known as Don Quixote, 'The Knight of the Rueful Countenance.'","Satire",14
3029,"Anna Karenina","Leo Tolstoy","A novel that tells the story of Anna Karenina, a beautiful and intelligent woman who becomes involved in an extramarital affair with the wealthy Count Vronsky, and explores themes of love, marriage, jealousy, and society.","Realistic",35
3030,"A Midsummer Night's Dream","William Shakespeare","A play that portrays the events surrounding the marriage of the Duke of Athens and the Queen of the Amazons, and the comedic consequences of the meddling of the fairy king and queen, Oberon and Titania, and a group of amateur actors.","Comedy",49